Calendario FANTA LEGA-CULO 8.0;;;;;;;;;;
1ª Giornata lega;;3ª Giornata serie a;;;;;;;;
KAPADOKYA  FC;76;73,5;OTTAVO;2-2;;;;;;
NIENTE MALE;78;60;GORGEOUS FC;3-0;;;;;;
ALNITAKERS;77,5;78,5;TURKISH PIZZA&KEBAB DI USLU ISMAIL;2-3;;;;;;
I FANALINI;71,5;70,5;CM MINNESOTA;1-1;;;;;;
FININVEST FC;74,5;81,5;PINK PANTHER;2-3;;;;;;
19ª Giornata lega;;21ª Giornata serie a;;;;;;;;
NIENTE MALE;63,5;71,5;CM MINNESOTA;0-1;;;;;;
I FANALINI;66;69;OTTAVO;1-1;;;;;;
GORGEOUS FC;63;66;TURKISH PIZZA&KEBAB DI USLU ISMAIL;0-1;;;;;;
FININVEST FC;78,5;74,5;ALNITAKERS;3-2;;;;;;
KAPADOKYA  FC;68,5;65,5;PINK PANTHER;1-0;;;;;;
20ª Giornata lega;;22ª Giornata serie a;;;;;;;;
OTTAVO;68;72,5;NIENTE MALE;1-2;;;;;;
ALNITAKERS;87;72;KAPADOKYA  FC;4-2;;;;;;
TURKISH PIZZA&KEBAB DI USLU ISMAIL;69,5;80,5;FININVEST FC;1-3;;;;;;
CM MINNESOTA;60;75,5;GORGEOUS FC;0-2;;;;;;
PINK PANTHER;90,5;64;I FANALINI;5-0;;;;;;
21ª Giornata lega;;23ª Giornata serie a;;;;;;;;
NIENTE MALE;70,5;78;PINK PANTHER;1-3;;;;;;
I FANALINI;64,5;65;ALNITAKERS;0-0;;;;;;
GORGEOUS FC;74,5;62;OTTAVO;2-0;;;;;;
CM MINNESOTA;74;74;TURKISH PIZZA&KEBAB DI USLU ISMAIL;2-2;;;;;;
KAPADOKYA  FC;67,5;69;FININVEST FC;1-1;;;;;;
22ª Giornata lega;;24ª Giornata serie a;;;;;;;;
OTTAVO;66;90,5;CM MINNESOTA;1-5;;;;;;
FININVEST FC;75,5;69;I FANALINI;2-1;;;;;;
ALNITAKERS;76,5;68;NIENTE MALE;2-1;;;;;;
TURKISH PIZZA&KEBAB DI USLU ISMAIL;65,5;78,5;KAPADOKYA  FC;0-3;;;;;;
PINK PANTHER;79;69;GORGEOUS FC;3-1;;;;;;
23ª Giornata lega;;25ª Giornata serie a;;;;;;;;
NIENTE MALE;69,5;62,5;FININVEST FC;1-0;;;;;;
I FANALINI;67,5;73;KAPADOKYA  FC;1-2;;;;;;
OTTAVO;73;72;TURKISH PIZZA&KEBAB DI USLU ISMAIL;2-2;;;;;;
GORGEOUS FC;71;81,5;ALNITAKERS;1-3;;;;;;
CM MINNESOTA;75;68;PINK PANTHER;2-1;;;;;;
24ª Giornata lega;;26ª Giornata serie a;;;;;;;;
FININVEST FC;68,5;69;GORGEOUS FC;1-1;;;;;;
