Rose lega FANTA LEGA-CULO;;;;;;;;
https://leghe.fantacalcio.it/fanta-lega-culo;;;;;;;;
* Calciatori non più in campionato - Data download 06/07/2026;;;;;;;;
;;;;;;;;
FININVEST FC;;;;;;;;
P;Pinsoglio;Juv;1;;;;;
P;Di Gregorio;Juv;66;;;;;
D;Dimarco;Int;51;;;;;
D;Juan Jesus;Nap;2;;;;;
D;Mancini;Rom;17;;;;;
D;Zortea;Bol;3;;;;;
D;Maripan;Tor;2;;;;;
D;Hien;Ata;7;;;;;
D;Gaspar K.;Lec;1;;;;;
D;Delprato;Par;6;;;;;
C;De Roon;Ata;1;;;;;
C;Politano;Nap;8;;;;;
C;Pasalic;Ata;6;;;;;
C;Calhanoglu;Int;44;;;;;
C;Loftus-Cheek;Mil;15;;;;;
C;Strefezza;Par;11;;;;;
C;Sohm;Bol;4;;;;;
C;Sucic P.;Int;16;;;;;
A;Zapata D.;Tor;13;;;;;
A;David;Juv;109;;;;;
A;Hojlund;Nap;86;;;;;
A;Bonny;Int;2;;;;;
A;Gimenez;Mil;13;;;;;
A;Douvikas;Com;1;;;;;
Crediti Residui: 0;;;;;;;;
;;;;;;;;
CM MINNESOTA;;;;;;;;
Ruolo;Calciatore;Squadra;Costo;;;;;
P;Di Gennaro;Int;1;;;;;
P;Sommer;Int;69;;;;;
P;Martinez Jo.;Int;2;;;;;
D;Romagnoli;Laz;6;;;;;
D;Akanji;Int;18;;;;;
D;Tomori;Mil;8;;;;;
D;Kalulu;Juv;18;;;;;
D;Scalvini;Ata;3;;;;;
D;Gatti;Juv;7;;;;;
D;Comuzzo;Fio;4;;;;;
D;Ahanor;Ata;1;;;;;
C;Rabiot;Mil;37;;;;;
C;Sottil;Lec;1;;;;;
C;Lobotka;Nap;5;;;;;
C;McKennie;Juv;22;;;;;
C;Gudmundsson A.;Fio;69;;;;;
C;Bernabè;Par;5;;;;;
C;Ekkelenkamp;Udi;1;;;;;
C;Taylor K.;Laz;11;;;;;
A;Cancellieri;Laz;1;;;;;
A;Malen;Rom;62;;;;;
A;Sarr A.;Ver;1;;;;;
A;Cheddira;Lec;2;;;;;
A;Addai;Com;13;;;;;
A;Durosinmi;Pis;24;;;;;
Crediti Residui: 0;;;;;;;;
